repo_name,commit_hash,datetime,author,lines_of_code,delta,Bourne Shell,CSS,Dockerfile,HCL,HTML,INI,JSON,JavaScript,Jupyter Notebook,Markdown,PowerShell,Python,SVG,Text,TypeScript,YAML
AgentWorks,f9efa3f,2025-05-08 16:24:52,Mark Burhop,11159,11159,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6202,0
AgentWorks,b60eb9a,2025-05-08 16:44:52,Mark Burhop,11156,-3,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6199,0
AgentWorks,44683ed,2025-05-08 16:44:52,Mark Burhop,11156,0,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6199,0
AgentWorks,2ab5ae1,2025-05-08 16:48:09,Mark Burhop,11162,6,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6205,0
AgentWorks,ece5de1,2025-05-08 16:48:09,Mark Burhop,11162,0,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6205,0
AgentWorks,d8df58c,2025-05-08 16:52:37,Mark Burhop,11162,0,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6205,0
AgentWorks,ddaeac3,2025-05-08 16:52:37,Mark Burhop,11162,0,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6205,0
AgentWorks,4b532b4,2025-05-08 16:54:08,Mark Burhop,11162,0,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6205,0
AgentWorks,7435d96,2025-05-08 16:54:08,Mark Burhop,11162,0,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6205,0
AgentWorks,729378f,2025-05-08 16:58:03,Mark Burhop,11157,-5,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6200,0
AgentWorks,6b6bb7a,2025-05-08 16:58:03,Mark Burhop,11157,0,0,58,0,0,13,0,4733,152,0,1,0,0,0,0,6200,0
AgentWorks,19c2433,2025-05-09 11:36:57,Mark Burhop,11266,109,0,58,0,0,13,0,4733,152,0,110,0,0,0,0,6200,0
AgentWorks,78b4a65,2025-05-09 11:36:57,Mark Burhop,11266,0,0,58,0,0,13,0,4733,152,0,110,0,0,0,0,6200,0
AgentWorks,ef6bfda,2025-05-09 11:45:41,Mark Burhop,11264,-2,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6200,0
AgentWorks,42e4cc5,2025-05-09 11:45:41,Mark Burhop,11264,0,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6200,0
AgentWorks,e6fa2b3,2025-05-09 12:02:57,Mark Burhop,11268,4,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6204,0
AgentWorks,5b618fc,2025-05-09 12:02:57,Mark Burhop,11268,0,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6204,0
AgentWorks,4bfcf13,2025-05-09 13:03:52,Mark Burhop,11572,304,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6508,0
AgentWorks,ec94273,2025-05-09 13:03:52,Mark Burhop,11572,0,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6508,0
AgentWorks,f9f67f8,2025-05-09 13:14:59,Mark Burhop,11737,165,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6673,0
AgentWorks,a37934d,2025-05-09 13:14:59,Mark Burhop,11737,0,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6673,0
AgentWorks,ddbbe04,2025-05-09 13:16:02,Mark Burhop,11736,-1,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6672,0
AgentWorks,20f1eb5,2025-05-09 13:16:02,Mark Burhop,11736,0,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6672,0
AgentWorks,6919564,2025-05-09 13:18:43,Mark Burhop,11715,-21,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6651,0
AgentWorks,f9a4589,2025-05-09 13:18:43,Mark Burhop,11715,0,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6651,0
AgentWorks,faed390,2025-05-09 13:21:59,Mark Burhop,11586,-129,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6522,0
AgentWorks,eb947df,2025-05-09 13:21:59,Mark Burhop,11586,0,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6522,0
AgentWorks,90e6298,2025-05-09 13:23:47,Mark Burhop,11585,-1,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6521,0
AgentWorks,60913f5,2025-05-09 13:23:47,Mark Burhop,11585,0,0,58,0,0,13,0,4733,152,0,108,0,0,0,0,6521,0
